scenario_id,fill_assumption,min_fill_quality_score,summary_level,market,year,turnover_bucket,day0_volume_shock_bucket,range_pct_bucket,fill_quality_score_bucket,candidate_trades,fillable_trades,skipped_trades,fillable_ratio,raw_win_rate,win_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,profit_factor,total_net_pnl,max_drawdown,average_turnover_twd,average_volume_ratio_20d,average_range_pct,average_fill_quality_score
optimistic_score_ge_40,optimistic,40.0,by_market,TPEX,,,,,,1670,1655,15,0.9910179640718563,0.7613293051359517,0.7172205438066466,0.02383376281144223,0.0197869101978691,0.018942827344145628,0.01491176103500761,5.602281700039844,2488008.0268,-35776.1086500003,594670442.0978853,5.980184922884657,0.09067228652795196,87.20241691842901
optimistic_score_ge_40,optimistic,40.0,by_market,TWSE,,,,,,2684,2659,25,0.9906855439642325,0.7168108311395262,0.6649116209101166,0.011460594101320977,0.016181229773462782,0.00661714470228103,0.011320139158576051,1.4436750172036763,1445592.58995,-931890.5605,1238849465.8965776,6.362599292959005,0.08469033471152757,89.17074088003008
optimistic_score_ge_40,optimistic,40.0,by_year,,2023,,,,,1153,1144,9,0.9921942758022549,0.6730769230769231,0.625,0.004267986812954292,0.013416858678955453,-0.0005479911628841838,0.008566546346966205,1.0010753285240626,1933.783539999975,-831145.5410500001,782511749.9536713,7.253035554055766,0.08275651314934114,86.82692307692308
optimistic_score_ge_40,optimistic,40.0,by_year,,2024,,,,,1290,1279,11,0.9914728682170543,0.763096168881939,0.7161845191555903,0.01851963468395778,0.02021772939346812,0.013649087239890317,0.015340900466562985,2.313134228669954,1404071.0054799998,-678499.0936200002,949563334.6950743,6.79868158885356,0.0890050454740545,88.14698983580922
optimistic_score_ge_40,optimistic,40.0,by_year,,2025,,,,,1056,1044,12,0.9886363636363636,0.7567049808429118,0.7011494252873564,0.017528672385661803,0.01685399168873069,0.012662323147118737,0.01199027797513633,2.9502500849340594,1008255.90737,-213424.98817,1026220043.7911878,5.685090008074363,0.0861387245784198,89.00383141762453
optimistic_score_ge_40,optimistic,40.0,by_year,,2026,,,,,855,847,8,0.9906432748538012,0.743801652892562,0.6989374262101535,0.027213073816902876,0.022727272727272728,0.022308879531114642,0.01784065909090909,4.66752357985207,1519339.92036,-65340.476349999895,1295421061.0991735,4.589300086114485,0.09069008446007094,90.24203069657615
optimistic_score_ge_40,optimistic,40.0,by_turnover_bucket,,,100m_200m,,,,1179,1151,28,0.9762510602205259,0.7219808861859253,0.6698523023457863,0.018586459836725577,0.017699115044247787,0.013715677335294192,0.012832106194690265,2.3277359261280925,1274738.70935,-217939.5675800001,143432827.1511729,7.539314220863871,0.08453893064293906,74.67419635099913
optimistic_score_ge_40,optimistic,40.0,by_turnover_bucket,,,200m_500m,,,,1362,1350,12,0.9911894273127754,0.7251851851851852,0.6792592592592592,0.017106722533332844,0.018871844336035316,0.012241342824746305,0.014000263014969117,2.0408201900481098,1358806.4680499998,-322893.87182,319846331.68814814,6.174832477689051,0.08708620943809738,86.62592592592593
optimistic_score_ge_40,optimistic,40.0,by_turnover_bucket,,,500m_1b,,,,826,826,0,1.0,0.725181598062954,0.6767554479418886,0.013509234179151036,0.01714361042317683,0.008658185080993775,0.012278767486136863,1.780574461519112,577804.74087,-150453.04258,708126757.087167,6.02613115862945,0.08746612213387471,98.00847457627118
optimistic_score_ge_40,optimistic,40.0,by_turnover_bucket,,,>=1b,,,,987,987,0,1.0,0.7669706180344478,0.7173252279635258,0.014460870358966704,0.01592356687898089,0.009606027066559556,0.011063480891719745,1.9107856970390236,722250.6984799999,-265998.69361,3137268367.079027,4.887536694254955,0.08929739149714033,98.86018237082067
optimistic_score_ge_40,optimistic,40.0,by_volume_shock_bucket,,,,2_5x,,,2465,2444,21,0.9914807302231238,0.7540916530278232,0.7107201309328969,0.018101232452132306,0.019457760554989503,0.013232161579651649,0.0145838947465856,2.2031988847612927,2544981.07687,-605156.8130699999,1194224552.6247954,3.2544262089101865,0.08831374666495338,92.06219312602292
