initial_capital_twd,max_gross_exposure_pct,max_positions_per_day,sizing_method,fixed_notional_twd,ranking_method,max_notional_per_symbol_pct,max_notional_per_sector_pct,max_notional_per_industry_pct,max_trades_per_symbol_per_month,not_bear_regime,avoid_weak_sectors,sector_allowlist,random_seed,commission_rate,commission_discount,sell_tax_rate,slippage_bps_per_side,minimum_commission_twd,candidate_signals,trades,trade_fill_rate,total_net_pnl,final_equity,total_return,annualized_return,max_drawdown_twd,max_drawdown_pct,daily_return_mean,daily_return_median,daily_sharpe_like,trade_win_rate,day_win_rate,avg_net_return_per_trade,median_net_return_per_trade,profit_factor,average_positions_per_signal_day,capital_utilization,skipped_signals_due_to_capital,skipped_due_to_board_lot,skipped_due_to_risk_caps,skipped_due_to_max_positions,skipped_due_to_monthly_symbol_cap,portfolio_score
1000000.0,1.0,3,fixed,200000.0,fill_quality_score,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,395,0.293026706231454,1126266.489000001,2126266.489000001,1.1262664890000011,0.6579215196644639,-24764.20470000012,-0.019188287419760728,0.003090636230855949,0.0006407017333329712,7.823057984472045,0.7493670886075949,0.7630057803468208,0.019280057850900704,0.017408073248407645,6.521411651780828,2.2832369942196533,0.22452764717926835,0,0,453,486,14,1.0687829458013312
1000000.0,1.0,3,fixed,200000.0,composite_score,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,408,0.2908054169636493,1122774.9422000027,2122774.9422000027,1.1227749422000026,0.6560964664202078,-24764.20470000012,-0.018894348729406842,0.002997877484288432,0.0010031646592543186,7.834050314183879,0.7475490196078431,0.7611111111111111,0.01865438891724102,0.017323852995885236,5.993407711716618,2.2666666666666666,0.22359562074578937,0,0,468,487,40,1.0674323494610634
1000000.0,1.0,3,fixed,300000.0,fill_quality_score,0.2,0.7,0.35,5,True,True,,42,0.001425,0.28,0.003,5.0,20.0,1131,256,0.22634836427939875,1070880.5153499993,2070880.5153499993,1.0708805153499994,0.6288529854266967,-23822.46710000001,-0.015715506127710083,0.0035626077846404214,0.0011998842667574339,8.36252866324572,0.75,0.773972602739726,0.019970446896178735,0.01827509828104575,7.290816331249632,1.7534246575342465,0.2544861734250183,0,0,618,257,0,1.0617565019530675
1000000.0,1.0,5,fixed,200000.0,fill_quality_score,0.2,0.7,0.35,5,True,True,,42,0.001425,0.28,0.003,5.0,20.0,1131,399,0.35278514588859416,1094825.0069000022,2094825.0069000022,1.094825006900002,0.6414509833355302,-23822.46710000001,-0.015635775981576224,0.0036223784556046364,0.0012308345064864223,7.848876180242606,0.7543859649122807,0.773972602739726,0.019542350349120736,0.01784065909090909,7.109513425764551,2.732876712328767,0.25939074996201444,0,0,533,172,27,1.0613554189457317
1000000.0,1.0,5,fixed,200000.0,composite_score,0.2,0.7,0.35,5,True,True,,42,0.001425,0.28,0.003,5.0,20.0,1131,400,0.3536693191865606,1080737.1245000022,2080737.1245000022,1.0807371245000024,0.6340446641585522,-22207.75354999979,-0.014625762013414905,0.0035891063118297485,0.0010930030946350033,7.8351834937836875,0.7475,0.7671232876712328,0.019060619163807604,0.01812736956571797,6.985070268559476,2.73972602739726,0.260429011343789,0,0,539,152,40,1.0538578897596853
1000000.0,1.0,2,fixed,300000.0,fill_quality_score,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,281,0.20028510334996436,1076131.7203499991,2076131.7203499991,1.076131720349999,0.6316199149748845,-28680.338800000027,-0.019345016717955434,0.0029071814697236706,0.0010077607257519272,8.227385074620754,0.7473309608540926,0.7555555555555555,0.01887747356738156,0.017183322880371776,6.1349185738256,1.5611111111111111,0.22367276301044042,0,0,436,686,0,1.0533451706819408
1000000.0,1.0,5,fixed,200000.0,fill_quality_score,0.2,0.7,0.35,5,True,False,,42,0.001425,0.28,0.003,5.0,20.0,1181,416,0.3522438611346317,1088859.4624500037,2088859.4624500037,1.0888594624500039,0.6383167729917567,-23822.46710000001,-0.015567248673563343,0.0034731195739232685,0.0010357528364228763,7.706641031546431,0.7427884615384616,0.7697368421052632,0.01846465280513053,0.016915564729423186,6.41710539063838,2.736842105263158,0.25845522940446125,0,0,552,189,24,1.0510895863457597
1000000.0,1.0,2,fixed,300000.0,day0_turnover_twd,0.2,0.7,0.35,5,False,False,,42,0.001425,0.28,0.003,5.0,20.0,1403,286,0.20384889522451888,1084430.4427499985,2084430.4427499985,1.0844304427499987,0.6359879206150072,-24761.44150000019,-0.018955657627189707,0.0029239055046727134,0.0006364167362375994,8.040664403830236,0.7342657342657343,0.7388888888888889,0.019022563194443863,0.01703668476833519,5.7295067336203,1.5888888888888888,0.22463639936436922,0,0,422,687,8,1.048928201515376
1000000.0,1.0,2,fixed,300000.0,day0_turnover_twd,0.2,0.7,0.35,5,False,True,,42,0.001425,0.28,0.003,5.0,20.0,1348,275,0.20400593471810088,1073209.9384499993,2073209.9384499993,1.0732099384499993,0.6300806745805962,-24761.44150000019,-0.01906142700631346,0.0029850457063163504,0.0005582563798622875,8.136772566172878,0.7381818181818182,0.7456647398843931,0.019633598487234664,0.01784065909090909,5.992162701357541,1.5895953757225434,0.22451883568743453,0,0,405,660,8,1.0477891828578934
1000000.0,1.0,5,fixed,200000.0,composite_score,0.2,0.7,0.35,5,True,False,,42,0.001425,0.28,0.003,5.0,20.0,1181,417,0.35309060118543606,1082867.1829000027,2082867.1829000027,1.0828671829000025,0.6351655429477692,-22207.75354999979,-0.014576708293959774,0.0034595710764259682,0.0010227231978358065,7.68773697831524,0.7386091127098321,0.7631578947368421,0.0182355207245457,0.01718332288037166,6.44942183305413,2.7434210526315788,0.2593129107228186,0,0,554,170,40,1.0475730978350948
